,Phi,Theta,E_deloc,E_nonbond,E_deloc_raw
341,0,0,0.0,-552.1643137875,-629.5027738274001
330,0,10,0.07440487160263706,-552.1643398897999,-629.5026552556002
347,0,20,0.3543033159411358,-552.1645442755,-629.5022092086999
329,0,30,0.7797105549796549,-552.1648620399,-629.5015312786
327,0,40,1.284380338483977,-552.1652360083001,-629.5007270355
358,0,50,1.8513656561811782,-552.1656136615001,-629.4998234862
337,0,60,2.4258272415715663,-552.1658877961,-629.4989080227
324,0,70,2.9629959671140567,-552.1660784641,-629.4980519892
355,0,80,3.3619530117273304,-552.1661590322001,-629.4974162101998
326,0,90,3.545532589288157,-552.1661788355,-629.4971236573001
343,0,100,3.454997661628984,-552.1661418739001,-629.497267934
353,0,110,3.125061524400451,-552.1660774446001,-629.4977937210998
351,0,120,2.6214145178140233,-552.1659533647,-629.4985963342999
357,0,130,2.028151382217465,-552.1656910208,-629.4995417599999
342,0,140,1.4447454088802194,-552.165193246,-629.5004714773002
335,0,150,0.9308322297704283,-552.1644797228001,-629.5012904506999
338,0,160,0.5611872601322132,-552.1638464463,-629.5018795179
339,0,170,0.36140326641464277,-552.163483875,-629.5021978942001
344,0,180,0.36398257956815144,-552.1634910221001,-629.5021937837998
345,0,190,0.5506776765455315,-552.1637829767999,-629.5018962660001
332,0,200,0.9942511757196902,-552.1645328193999,-629.5011893861001
348,0,210,1.6975715460585639,-552.1656980532,-629.5000685729001
333,0,220,2.647396716182301,-552.1671069176,-629.498554929
334,0,230,3.7344200148018594,-552.1684081268,-629.4968226457999
350,0,240,4.816766049556702,-552.1694506023001,-629.4950978162998
356,0,250,5.718799945730865,-552.1702103114999,-629.4936603327001
336,0,260,6.2897073829153065,-552.1706594813999,-629.4927505331001
325,0,270,6.4071256120394064,-552.1707399888,-629.4925634151
331,0,280,6.030274140727925,-552.1704129018999,-629.4931639666002
354,0,290,5.250002530220402,-552.1697254122001,-629.4944074094998
328,0,300,4.190438209555663,-552.1687030196999,-629.4960959340001
352,0,310,3.051509249091396,-552.1675300985,-629.4979109342
340,0,320,1.9753926844137506,-552.1663418024,-629.4996258364001
346,0,330,1.0818826820441525,-552.1653483132999,-629.5010497363002
349,0,340,0.4282708136877678,-552.1646662078999,-629.5020913339001
359,0,350,0.07435962836831027,-552.1643422044,-629.5026553276999
